	PolII sum gb	PolII sum promoter
ENSMUSG00000078597	3.749106570112793	2.49898651579847
ENSMUSG00000108596	4.170508136933836	2.3429100015684488
ENSMUSG00000037025	2.789600687371147	2.684397975467395
ENSMUSG00000114329	3.133692161732475	2.5638448227600925
ENSMUSG00000050410	4.552605764049507	4.395297846953991
ENSMUSG00000020537	4.465217232707501	3.852732648613992
ENSMUSG00000068101	4.079767509627159	4.01624211951882
ENSMUSG00000041891	4.61474117930806	2.677960509385163
ENSMUSG00000086792	3.178078668762629	2.952250972452527
ENSMUSG00000100608	3.135535472814825	1.996172977216272
ENSMUSG00000095609	3.679440919194224	2.5057824113414204
ENSMUSG00000020600	4.303332878240168	2.5719877153239548
ENSMUSG00000106985	3.162865978153469	2.4811855112276784
ENSMUSG00000020682	4.123046525166756	2.773168195638549
ENSMUSG00000089989	5.135186523883117	3.614833613235871
ENSMUSG00000038623	4.259538135276118	3.7149168061764817
ENSMUSG00000035551	3.984878956975414	3.54981547515368
ENSMUSG00000042208	4.581307047499632	4.192066713321243
ENSMUSG00000069189	3.9227956727708135	3.3327460603804435
ENSMUSG00000026983	2.854427708199485	2.546904835754497
ENSMUSG00000009670	5.186316753444162	3.7263049314857977
ENSMUSG00000106396	3.6661668463366666	3.759457570087242
ENSMUSG00000115988	2.920018045837929	2.5891645944098127
ENSMUSG00000045822	4.123810277618143	4.350359808923297
ENSMUSG00000073728	3.317698485744177	3.894668783677478
ENSMUSG00000082975	2.104030384034089	2.150143186368421
ENSMUSG00000104371	2.7193862609863357	3.156169406730236
ENSMUSG00000087702	3.1189114412382213	2.5932014895367903
ENSMUSG00000039182	3.9022205282793143	4.149814191298661
ENSMUSG00000107874	2.743720067025716	2.677290544587869
ENSMUSG00000102912	3.520551215394814	3.541004796780919
ENSMUSG00000097817	4.186309400782498	4.126718406934484
ENSMUSG00000105185	3.468095642438528	2.5251073755056326
ENSMUSG00000089997	4.127705049361326	3.374280815572503
ENSMUSG00000034796	3.738235234801119	3.1671291982076317
ENSMUSG00000116872	2.5283749935173288	2.4583376415087086
ENSMUSG00000054005	3.4280618653249557	2.202778839343293
ENSMUSG00000024132	4.258768141902904	4.532388279623586
ENSMUSG00000079407	4.103896041465632	2.698688490291341
ENSMUSG00000091849	4.495627580906491	2.693344941754905
ENSMUSG00000106905	2.858885536047883	3.011728007102015
ENSMUSG00000106254	2.9655773310868354	3.2026499440652536
ENSMUSG00000039713	4.695216290526316	2.9967668327498638
ENSMUSG00000086710	3.4825215290869918	2.221735818369363
ENSMUSG00000094613	2.787271979569266	2.685452411078061
ENSMUSG00000030116	4.156007712517153	2.334696298535898
ENSMUSG00000038188	3.835373663959844	3.071897955680704
ENSMUSG00000116097	3.1659947130515635	3.0804098868591043
ENSMUSG00000094230	4.660105271821764	2.8285576470250704
ENSMUSG00000062901	4.927653982091975	4.670470366110201
ENSMUSG00000101302	1.9346617018156136	1.971433731242339
ENSMUSG00000026258	3.7317877376650417	3.121095648452168
ENSMUSG00000031701	4.894547366292847	4.630382782000175
ENSMUSG00000026058	4.89915725045018	3.4875729240318427
ENSMUSG00000102517	2.4950922325406624	2.466039745366372
ENSMUSG00000053044	3.397754090844529	2.7039384675764686
ENSMUSG00000091542	3.937500673688484	3.0637809357738703
ENSMUSG00000053825	4.901206862764109	2.7622052574586857
ENSMUSG00000060487	3.9195388279428505	2.968413362465649
ENSMUSG00000031901	4.691919199298722	3.103017974858992
ENSMUSG00000025007	4.6093143928816245	3.6936258362118544
ENSMUSG00000100945	1.6046029262668715	2.653143986350893
ENSMUSG00000114410	3.502931228018108	2.47905390150312
ENSMUSG00000044083	4.445625995281497	3.9958005459641375
ENSMUSG00000074259	4.525149802860351	4.841855642661595
